age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,auto_year,fraud_reported
40,1996-02-02,IN,100/300,1000,6.784807679897259,0,434733,MALE,College,craft-repair,kayaking,husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,6,1,NO,1,3,NO,77880,Ford,Escape,2005,N
35,2013-12-05,OH,100/300,2000,7.14513304152417,0,613982,MALE,Masters,sales,polo,own-child,0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,16,3,NO,1,3,YES,71500,Ford,Escape,2006,Y
43,1990-09-20,IN,100/300,2000,7.187732747048365,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,PA,Arlington,4,1,YES,1,3,YES,9020,Toyota,Camry,2005,N
34,2002-07-18,IN,100/300,500,6.744141632853645,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,2015-01-07,Vehicle Theft,?,Minor Damage,Unknown,VA,Northbrook,5,1,YES,2,1,?,5720,Suburu,Forrestor,2003,Y
40,1990-02-08,OH,100/300,2000,7.164488333289902,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,21,1,NO,1,0,YES,69840,Dodge,Neon,2009,N
45,2014-03-04,IL,500/1000,2000,7.008053000297501,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,5,1,NO,2,2,NO,91650,Accura,TL,2011,N
25,2000-02-18,IL,250/500,1000,6.86187886571461,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,NO,0,0,?,75600,Toyota,Corolla,2005,N
37,2008-06-19,IL,100/300,2000,7.199140486358299,8000000,610393,MALE,JD,craft-repair,reading,husband,27500,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,10,3,NO,2,2,?,67140,Ford,F150,2006,Y
35,2003-08-01,IL,500/1000,1000,6.993327287244098,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,16,3,YES,2,3,NO,29790,BMW,3 Series,2008,N
30,1992-04-04,IL,100/300,1000,7.351985868436177,0,472248,MALE,High School,farming-fishing,video-games,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,1,3,NO,1,2,?,77110,Suburu,Impreza,2015,N
37,1991-01-13,IL,500/1000,500,7.256071384970768,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,17,1,YES,0,1,YES,64800,Audi,A3,1999,N
33,2010-08-08,OH,100/300,1000,7.19679892407305,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,15,1,YES,2,0,YES,53100,Mercedes,C300,1995,Y
28,2003-03-09,IL,100/300,1000,6.897149233194913,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,3,1,?,1,1,YES,60200,Suburu,Forrestor,2004,Y
49,1993-02-03,IL,500/1000,2000,7.109454536202328,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,2015-01-18,Parked Car,?,Minor Damage,Unknown,WV,Arlington,16,1,NO,1,1,YES,5330,Suburu,Legacy,2001,N
54,2002-11-25,IN,500/1000,2000,7.05319671463231,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,4,3,?,2,0,?,62300,Jeep,Wrangler,2007,N
37,1997-07-27,IN,250/500,500,7.141308461595508,0,474615,MALE,JD,tech-support,video-games,wife,48500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,?,0,3,NO,60170,Nissan,Pathfinder,2011,Y
26,1995-05-08,IL,100/300,500,7.281124101492539,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,19,1,NO,2,2,?,40000,BMW,M5,2010,N
34,2012-08-30,IN,250/500,500,7.460869980575199,0,470577,MALE,Associate,transport-moving,chess,unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,?,1,1,?,97080,BMW,X5,2001,Y
23,2006-04-30,IL,500/1000,500,7.29772088804335,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,YES,1,0,NO,51660,Dodge,RAM,2010,N
30,2003-04-13,OH,250/500,500,6.290030920068052,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,23,1,NO,2,2,NO,51120,Mercedes,E400,2005,N
44,2007-12-05,IL,100/300,2000,6.9866403938266295,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,14,1,YES,0,2,?,56400,Toyota,Highlander,2014,N
40,2006-08-21,IL,250/500,1000,7.28305666859047,0,459407,FEMALE,MD,protective-serv,yachting,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,17,3,NO,2,3,?,55120,Accura,MDX,2002,N
33,1990-01-08,IN,100/300,500,7.124051440338901,0,472573,FEMALE,Associate,other-service,polo,husband,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,11,3,YES,1,1,?,77110,Honda,Civic,2014,N
47,1990-03-18,OH,500/1000,2000,7.150466135788876,4000000,433473,MALE,College,other-service,kayaking,husband,0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,3,NO,2,1,NO,62800,Audi,A3,2003,Y
34,2008-01-07,IN,500/1000,1000,7.025422752405907,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,5,1,?,2,0,YES,7290,Volkswagen,Passat,1995,N
35,1997-03-10,IL,100/300,1000,7.128407730081055,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,19,1,NO,0,0,?,76600,Mercedes,C300,2000,N
59,2004-01-10,OH,250/500,2000,7.191143144510894,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,?,0,3,YES,81800,Nissan,Pathfinder,1998,N
27,1994-08-20,IL,100/300,2000,6.9799177885215045,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,Unknown,NY,Arlington,4,1,?,1,2,?,7260,BMW,M5,2008,N
39,2002-06-02,IN,100/300,1000,7.334015985279954,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,Unknown,WV,Northbend,8,1,?,2,1,YES,4300,Toyota,Corolla,2000,N
40,1994-04-28,IN,100/300,500,7.092083155104115,0,437818,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7,3,YES,1,0,?,70510,Suburu,Forrestor,1999,N
39,2014-08-17,OH,250/500,1000,7.240341403011005,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,2015-02-27,Parked Car,?,Minor Damage,Police,VA,Northbend,5,1,NO,0,1,YES,2640,Ford,F150,2009,N
26,2007-08-11,OH,100/300,1000,7.152715115097243,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,3,1,YES,1,2,NO,78900,Chevrolet,Silverado,1995,N
56,2008-11-20,IN,250/500,500,6.987942591584492,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,?,2,3,?,56430,Honda,CRV,2014,N
32,1995-10-18,IN,500/1000,1000,7.255407641575007,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,2015-02-22,Parked Car,?,Minor Damage,Unknown,VA,Riverwood,19,1,NO,1,3,NO,2400,Chevrolet,Silverado,2014,N
39,1993-05-19,IL,250/500,2000,7.293738508348804,0,431683,MALE,PhD,other-service,yachting,husband,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,22,1,YES,0,1,NO,65790,Saab,93,2007,N
36,2005-02-26,OH,250/500,2000,6.770365021936596,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,NO,1,1,NO,62920,Ford,Escape,2000,N
34,1990-02-14,IN,100/300,500,6.679888088831514,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,YES,2,1,?,69480,Nissan,Maxima,2014,Y
44,1993-09-30,IL,500/1000,1000,7.064075033237091,0,452787,MALE,JD,handlers-cleaners,basketball,husband,69100,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,23,3,NO,0,3,NO,44280,Honda,Accord,1997,N
32,2014-06-10,IL,500/1000,1000,6.902250153547645,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,12,1,NO,0,3,YES,56300,BMW,M5,2011,N
42,2008-10-28,OH,500/1000,500,7.522838210095384,0,435489,MALE,JD,transport-moving,video-games,own-child,0,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,YES,2,2,YES,68520,Suburu,Legacy,2003,Y
42,2007-04-24,OH,250/500,2000,7.404114770996819,5000000,450149,MALE,PhD,sales,chess,not-in-family,62400,0,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,16,3,NO,0,0,NO,59130,Ford,Escape,2006,Y
39,1993-12-13,IN,100/300,500,7.218081525943431,0,458364,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,YES,2,2,NO,82320,Dodge,Neon,1995,Y
31,2011-08-17,IN,250/500,500,7.123044062216969,7000000,476458,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,YES,0,1,NO,89700,Audi,A5,2009,Y
64,1990-08-20,OH,250/500,500,6.728652536243517,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,NO,1,1,NO,33930,BMW,X6,1998,N
30,1994-02-11,OH,100/300,1000,6.968219887997206,0,478575,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,NO,0,3,NO,68530,Audi,A5,1997,N
49,1994-02-22,IN,500/1000,1000,7.154677854960619,0,449718,MALE,MD,other-service,kayaking,own-child,0,-51500,2015-02-27,Parked Car,?,Minor Damage,Unknown,NC,Riverwood,13,1,NO,0,1,?,4300,Ford,F150,2004,N
42,2011-08-15,OH,100/300,500,7.008948121944617,0,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,?,2,3,?,68310,Audi,A3,2003,Y
41,1998-11-11,OH,100/300,2000,6.962745232298964,0,441992,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,NO,0,2,NO,61290,Honda,Civic,1995,Y
41,1995-12-04,OH,250/500,1000,6.79886632347319,0,452597,FEMALE,Associate,sales,paintball,husband,0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,10,1,NO,1,2,NO,30100,Chevrolet,Malibu,1999,N
37,2002-12-28,IN,100/300,500,7.398743434845021,0,614417,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7,3,NO,2,0,YES,57120,Mercedes,C300,2002,N
40,2004-04-15,IL,100/300,1000,7.249207949768592,0,472895,FEMALE,Associate,sales,yachting,wife,0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,18,3,YES,1,0,YES,42930,BMW,X6,2005,N
35,2001-02-02,OH,100/300,1000,7.263007210919378,0,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,NO,2,0,NO,51210,Ford,Fusion,2010,N
45,2010-01-12,OH,500/1000,1000,6.946100609099465,0,476978,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,NO,1,1,YES,89400,Suburu,Legacy,1998,N
47,1992-04-14,IN,250/500,500,7.176338626340445,0,600648,MALE,College,transport-moving,dancing,not-in-family,0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,22,3,NO,0,2,?,59730,Audi,A3,2005,N
39,2010-05-21,OH,500/1000,1000,7.306692459794013,6000000,608335,FEMALE,JD,other-service,kayaking,wife,0,-45000,2015-01-24,Vehicle Theft,?,Minor Damage,Unknown,SC,Springfield,15,1,YES,2,2,YES,8060,Saab,95,2004,N
38,2013-10-27,OH,500/1000,500,6.885172189781879,0,471600,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,16,1,?,1,2,?,72200,BMW,M5,2013,Y
31,1994-10-12,OH,250/500,2000,7.201491488109155,0,441175,MALE,High School,exec-managerial,paintball,husband,52700,-40600,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,6,3,NO,1,2,NO,50800,Accura,MDX,2005,N
40,1997-07-04,OH,500/1000,2000,7.145834732312324,5000000,603123,FEMALE,Masters,exec-managerial,video-games,wife,0,0,2015-01-03,Vehicle Theft,?,Trivial Damage,Unknown,NC,Northbrook,10,1,?,2,1,?,6600,Accura,TL,2005,N
29,2011-02-15,IL,250/500,1000,7.118988179270512,6000000,457767,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,2015-01-29,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,3,1,YES,2,2,NO,7500,Nissan,Maxima,2002,N
35,1994-08-21,IN,250/500,2000,7.184674640689544,0,618498,MALE,High School,exec-managerial,video-games,wife,57300,-80600,2015-01-19,Vehicle Theft,?,Trivial Damage,Unknown,VA,Hillsdale,13,1,NO,0,3,YES,6490,Volkswagen,Jetta,2002,N
48,1997-05-15,IN,500/1000,2000,6.647623520617362,0,605486,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,16,2,?,2,3,NO,60940,Audi,A3,2013,Y
41,1996-10-26,OH,100/300,2000,7.323645852573884,0,617970,MALE,High School,transport-moving,board-games,own-child,35700,0,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,3,YES,0,1,?,58300,Suburu,Legacy,2007,N
34,2006-03-04,IL,500/1000,1000,6.773812373126229,4000000,432934,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9,3,NO,2,1,?,68400,Ford,F150,2007,N
32,1991-01-02,IL,500/1000,500,7.3861176266029664,0,456762,FEMALE,MD,other-service,yachting,own-child,36400,0,2015-01-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2,1,?,2,1,YES,64240,BMW,3 Series,2015,N
36,1999-08-15,IL,500/1000,2000,7.184811092192618,9000000,601748,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,2015-01-30,Parked Car,?,Trivial Damage,Unknown,WV,Arlington,9,1,NO,0,1,YES,4700,Dodge,Neon,2002,N
25,1992-01-15,IN,100/300,1000,7.1130036626417885,0,607763,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,2015-01-07,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,12,3,YES,2,0,?,45120,Accura,MDX,2011,Y
29,1999-12-07,OH,250/500,2000,7.191007554354532,5000000,436973,FEMALE,High School,sales,board-games,own-child,0,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,12,2,YES,1,1,?,66950,Saab,93,1995,N
23,1993-06-06,IL,250/500,2000,7.036878218641478,4000000,471300,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,2015-02-02,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,14,1,NO,0,3,?,98340,Honda,Accord,2004,Y
42,2000-10-03,IL,250/500,2000,7.188246559548335,0,453277,MALE,PhD,farming-fishing,yachting,own-child,55200,0,2015-02-28,Parked Car,?,Trivial Damage,Unknown,WV,Springfield,9,1,NO,0,1,NO,5900,BMW,X5,2007,N
43,2010-12-29,IN,100/300,1000,7.302664873150785,0,465100,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,2015-02-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,3,3,NO,1,1,?,70680,Ford,Fusion,2009,N
42,1990-03-17,IL,100/300,500,7.324028435806894,0,603248,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,21,3,NO,1,0,NO,93720,Mercedes,ML350,2005,N
25,2012-03-01,IL,100/300,2000,6.981173012976299,5000000,601112,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400,2015-02-21,Vehicle Theft,?,Minor Damage,Unknown,OH,Northbrook,5,1,NO,2,0,YES,6930,Toyota,Highlander,2001,N
47,2006-02-05,IN,500/1000,1000,7.433235004987877,0,438830,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0,2015-01-14,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,11,1,YES,0,3,NO,72930,Dodge,RAM,2006,Y
25,2014-11-01,IL,250/500,2000,7.21069289167534,0,464959,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700,2015-01-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,4,4,YES,1,2,YES,64890,Nissan,Pathfinder,2013,Y
48,2009-06-17,OH,250/500,1000,7.047282411182849,0,439787,FEMALE,College,machine-op-inspct,kayaking,wife,0,0,2015-02-22,Parked Car,?,Trivial Damage,Unknown,WV,Columbus,6,1,?,1,2,YES,5400,Saab,95,1999,N
42,1999-09-20,IL,100/300,1000,6.877811402609065,0,464839,MALE,College,exec-managerial,reading,not-in-family,0,0,2015-01-26,Vehicle Theft,?,Trivial Damage,Unknown,NC,Northbrook,10,1,NO,0,0,?,5600,Audi,A3,2007,N
41,1990-10-19,IN,100/300,500,7.289487647008214,0,448984,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,2015-01-24,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,23,1,YES,0,0,?,79300,Saab,92x,2007,N
